Product,Current Factory,Candidate Factory,Region,Ship Mode,Predicted Lead Time Days,Lead Time Reduction Days,Lead Time Reduction %,Risk SD Days,Risk Reduction %,Estimated Cost,Estimated Profit,Profit Impact,Profit Impact %,Distance to Region Centroid km,Recommendation Score,Recommendation,Risk Flag
Everlasting Gobstopper,Secret Factory,Sugar Shack,Atlantic,First Class,1382.1582279004792,101.74011679034015,6.856272678944084,274.60691454575556,0.8424237445026834,3.2628504672897196,31.73714953271028,3.73714953271028,13.346962616822427,1907.5144595175952,78.99999999999999,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Lot's O' Nuts,Atlantic,First Class,1417.1934982866226,66.70484640419681,4.495243669679761,255.74106237686206,7.654678192488544,3.8530869729270822,31.14691302707292,3.1469130270729195,11.238975096688998,3313.279674146417,62.91868113095305,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Wicked Choccy's,Atlantic,First Class,1419.56930829611,64.32903639470942,4.335137688162381,255.1409819527574,7.871360720352117,4.257808862306258,30.74219113769374,2.742191137693741,9.793539777477646,966.7174915154925,59.4743875026456,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Sugar Shack,Atlantic,Same Day,1367.5168803616295,101.74011679034015,6.924596376777838,274.60691454575556,0.8424237445026834,3.2628504672897196,31.73714953271028,3.73714953271028,13.346962616822427,1907.5144595175952,78.99999999999999,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Lot's O' Nuts,Atlantic,Same Day,1402.5521507477729,66.70484640419681,4.540039389534881,255.74106237686206,7.654678192488544,3.8530869729270822,31.14691302707292,3.1469130270729195,11.238975096688998,3313.279674146417,62.91868113095305,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Wicked Choccy's,Atlantic,Same Day,1404.9279607572603,64.32903639470942,4.378337929947301,255.1409819527574,7.871360720352117,4.257808862306258,30.74219113769374,2.742191137693741,9.793539777477646,966.7174915154925,59.4743875026456,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Sugar Shack,Atlantic,Second Class,1369.9195176839617,101.74011679034015,6.913291253427849,274.60691454575556,0.8424237445026834,3.2628504672897196,31.73714953271028,3.73714953271028,13.346962616822427,1907.5144595175952,78.99999999999999,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Lot's O' Nuts,Atlantic,Second Class,1404.954788070105,66.70484640419681,4.532627303325117,255.74106237686206,7.654678192488544,3.8530869729270822,31.14691302707292,3.1469130270729195,11.238975096688998,3313.279674146417,62.91868113095289,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Wicked Choccy's,Atlantic,Second Class,1407.3305980795924,64.32903639470942,4.3711898381780845,255.1409819527574,7.871360720352117,4.257808862306258,30.74219113769374,2.742191137693741,9.793539777477646,966.7174915154925,59.47438750264544,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Sugar Shack,Atlantic,Standard Class,1358.5363847333356,101.74011679034015,6.967181673072387,274.60691454575556,0.8424237445026834,3.2628504672897196,31.73714953271028,3.73714953271028,13.346962616822427,1907.5144595175952,78.99999999999999,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Lot's O' Nuts,Atlantic,Standard Class,1393.571655119479,66.70484640419681,4.567959994877403,255.74106237686206,7.654678192488544,3.8530869729270822,31.14691302707292,3.1469130270729195,11.238975096688998,3313.279674146417,62.91868113095305,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Wicked Choccy's,Atlantic,Standard Class,1395.9474651289663,64.32903639470942,4.405264093997779,255.1409819527574,7.871360720352117,4.257808862306258,30.74219113769374,2.742191137693741,9.793539777477646,966.7174915154925,59.4743875026456,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Sugar Shack,Gulf,First Class,1368.7874412965857,101.74011679034015,6.918613407197778,210.44773697999224,30.927620626612352,3.2628504672897196,31.73714953271028,3.73714953271028,13.346962616822427,2136.7328059710176,100.0,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Lot's O' Nuts,Gulf,First Class,1403.822711682729,66.70484640419681,4.536116717933263,266.87888223426404,12.405998444244187,3.8530869729270822,31.14691302707292,3.1469130270729195,11.238975096688998,2100.5308123042055,45.67240618502814,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Wicked Choccy's,Gulf,First Class,1406.1985216922164,64.32903639470942,4.374554971169524,260.0116889313364,14.65992328020145,4.257808862306258,30.74219113769374,2.742191137693741,9.793539777477646,897.8239432041659,43.758246603045876,Potential Reassignment,Acceptable
Everlasting Gobstopper,Secret Factory,Sugar Shack,Gulf,Same Day,1354.146093757736,101.74011679034015,6.988191525767632,210.44773697999224,30.927620626612352,3.2628504672897196,31.73714953271028,3.73714953271028,13.346962616822427,2136.7328059710176,100.0,Potential Reassignment,Acceptable
